grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
واترپولو,"('v', 'A', 't', 'e', 'r', 'p', 'o', 'l', 'o')",واتِرپولو,"5,7",,,,False,,
دولوکس,"('d', 'o', 'l', 'u', 'k', 's')",دولوکس,1,,,,False,,
شستشو‌‌دهنده,"('S', 'o', 's', 't', 'e', 'S', 'u', 'd', 'a', 'h', 'a', 'n', 'd', 'e')",شُستِشو‌‌دَهَندِه,,,,,False,,
جوشی,"('j', 'u', 'S', 'i')",جوشی,,,,,False,,
فولاد,"('f', 'u', 'l', 'A', 'd')",فولاد,,,,,False,,
اذهان,"('?', 'a', 'z', 'h', 'A', 'n')",اَذهان,,,,,False,,
گروگان,"('g', 'e', 'r', 'o', 'g', 'A', 'n')",گِروگان,2,,,,False,,
عوض,"('?', 'a', 'v', 'a', 'z')",عَوَض,,,,,False,,
هزارباغ,"('h', 'e', 'z', 'A', 'r', 'b', 'A', 'q')",هِزارباغ,,,,,False,,
منطقی,"('m', 'a', 'n', 't', 'e', 'q', 'i')",مَنطِقی,,,,,False,,
حیاتی,"('h', 'a', 'y', 'A', 't', 'i')",حَیاتی,,,,,False,,
بوراکس,"('b', 'o', 'r', 'A', 'k', 's')",بوراکس,1,,,,False,,
آریایی,"('?', 'A', 'r', 'i', 'y', 'A', '?', 'i')",آریایی,,,,4,False,,
هموژن,"('h', 'e', 'm', 'o', 'Z', 'e', 'n')",هِموژِن,2,,,,False,,
برزنگی,"('b', 'a', 'r', 'z', 'a', 'n', 'g', 'i')",بَرزَنگی,,,,,False,,
کاتورید,"('k', 'A', 't', 'o', 'r', 'i', 'd')",کاتورید,3,,,,False,,
پونز,"('p', 'u', 'n', 'e', 'z')",پونِز,,,,,False,,
گزینشی,"('g', 'o', 'z', 'i', 'n', 'e', 'S', 'i')",گُزینِشی,,,,,False,,
جنتی,"('j', 'a', 'n', 'n', 'a', 't', 'i')",جَنَّتی,,,,,False,,
مستمری‌بگیر,"('m', 'o', 's', 't', 'a', 'm', 'a', 'r', 'i', 'b', 'e', 'g', 'i', 'r')",مُستَمَری‌بِگیر,,,,,False,,
مسعودیه,"('m', 'a', 's', '?', 'u', 'd', 'i', 'y', 'y', 'e')",مَسعودیِّه,,,,,False,,
فریومد,"('f', 'a', 'r', 'y', 'u', 'm', 'a', 'd')",فَریومَد,,,,,False,,
فرادستی,"('f', 'a', 'r', 'A', 'd', 'a', 's', 't', 'i')",فَرادَستی,,,,,False,,
نیم‌ساعته,"('n', 'i', 'm', 's', 'A', '?', 'a', 't', 'e')",نیم‌ساعَتِه,,,,,False,,
پا‌به‌سن‌گذاشته,"('p', 'A', 'b', 'e', 's', 'e', 'n', 'g', 'o', 'z', 'A', 'S', 't', 'e')",پا‌بِه‌سِن‌گُذاشتِه,,,10,10,False,,
سی‌‌سوالی,"('s', 'i', 's', 'o', '?', 'A', 'l', 'i')",سی‌‌سواَلی,,,,,False,,
اشکل,"('?', 'e', 'S', 'k', 'e', 'l')",اِشکِل,,,,,False,,
دولتمرد,"('d', 'o', 'l', 'a', 't', 'm', 'a', 'r', 'd')",دولَتمَرد,1,,,,False,,
افسردگی,"('?', 'a', 'f', 's', 'o', 'r', 'd', 'e', 'g', 'i')",اَفسُردِگی,,,,,False,,
اسبچه,"('?', 'a', 's', 'b', 'C', 'e')",اَسبچِه,,,,,False,,
فرانشیز,"('f', 'e', 'r', 'A', 'n', 'S', 'i', 'z')",فِرانشیز,,,,,False,,
پورعرب,"('p', 'u', 'r', '?', 'a', 'r', 'a', 'b')",پورعَرَب,,,,,False,,
دو‌مفعولی,"('d', 'o', 'm', 'a', 'f', '?', 'u', 'l', 'i')",دو‌مَفعولی,1,,,,False,,
بریتانیا,"('b', 'e', 'r', 'i', 't', 'A', 'n', 'i', 'y', 'A')",بِریتانیا,,,9,,False,,
صدوق,"('s', 'a', 'd', 'u', 'q')",صَدوق,,,,,False,,
یگانه‌پور,"('y', 'e', 'g', 'A', 'n', 'e', 'p', 'u', 'r')",یِگانِه‌پور,,,,,False,,
صدرایی,"('s', 'a', 'd', 'r', 'A', 'y', 'i')",صَدرایی,,,,,False,,
سفارش,"('s', 'e', 'f', 'A', 'r', 'e', 'S')",سِفارِش,,,,,False,,
وسطین,"('v', 'a', 's', 'a', 't', 'e', 'y', 'n')",وَسَطِین,,,,,False,,
مطالعه‌یی,"('m', 'o', 't', 'A', 'l', 'e', '?', 'e', 'y', 'i')",مُطالِعِه‌یی,,,,,False,,
آلبرتینی,"('?', 'A', 'l', 'b', 'e', 'r', 't', 'i', 'n', 'i')",آلبِرتینی,,,,,False,,
آلیاژ,"('?', 'A', 'l', 'y', 'A', 'Z')",آلیاژ,,,,,False,,
آرزو,"('?', 'A', 'r', 'e', 'z', 'u')",آرِزو,,,,,False,,
ستم‌بار,"('s', 'e', 't', 'a', 'm', 'b', 'A', 'r', 'e')",سِتَم‌بارِ,,,,,False,,
عنتر,"('?', 'a', 'n', 't', 'a', 'r')",عَنتَر,,,,,False,,
متقاطع,"('m', 'o', 't', 'e', 'q', 'A', 't', 'e', '?')",مُتِقاطِع,,,,,False,,
مروه,"('m', 'a', 'r', 'v', 'e')",مَروِه,,,,,False,,
افیون,"('?', 'a', 'f', 'y', 'u', 'n')",اَفیون,,,,,False,,
تلافی‌جویانه,"('t', 'a', 'l', 'A', 'f', 'i', 'j', 'u', 'y', 'A', 'n', 'e')",تَلافی‌جویانِه,,,,,False,,
هم‌جهتی,"('h', 'a', 'm', 'j', 'a', 'h', 'a', 't', 'i')",هَم‌جَهَتی,,,,,False,,
دوگوشی,"('d', 'o', 'g', 'u', 'S', 'i')",دوگوشی,1,,,,False,,
کهنه‌‌شده,"('k', 'o', 'h', 'n', 'e', 'S', 'o', 'd', 'e')",کُهنِه‌‌شُدِه,,,,,False,,
جاسیگاری,"('j', 'A', 's', 'i', 'g', 'A', 'r', 'i')",جاسیگاری,,,,,False,,
صحیح,"('s', 'a', 'h', 'i', 'h')",صَحیح,,,,,False,,
صداخفه‌‌کن,"('s', 'e', 'd', 'A', 'x', 'a', 'f', 'e', 'k', 'o', 'n')",صِداخَفِه‌‌کُن,,,,,False,,
کویلی,"('k', 'o', 'y', 'l', 'i')",کویلی,1,,,,False,,
زیر‌برنامه‌,"('z', 'i', 'r', 'b', 'r', 'n', 'A', 'm', 'e')",زیر‌برنامِه‌,,,,,False,,
مرشد,"('m', 'o', 'r', 'S', 'e', 'd')",مُرشِد,,,,,False,,
ریکتزیا,"('r', 'i', 'k', 'e', 't', 'z', 'i', 'y', 'A')",ریکِتزیا,,,8,,False,,
دوغاب,"('d', 'u', 'q', 'A', 'b')",دوغاب,,,,,False,,
خرفت,"('x', 'e', 'r', 'e', 'f', 't')",خِرِفت,,,,,False,,
شهروز,"('S', 'a', 'h', 'r', 'u', 'z')",شَهروز,,,,,False,,
دربازکن,"('d', 'a', 'r', 'b', 'A', 'z', 'k', 'o', 'n')",دَربازکُن,,,,,False,,
موشک,"('m', 'u', 'S', 'a', 'k')",موشَک,,,,,False,,
سبقت,"('s', 'e', 'b', 'q', 'a', 't')",سِبقَت,,,,,False,,
تخته‌کلاه,"('t', 'a', 'x', 't', 'e', 'k', 'o', 'l', 'A')",تَختِه‌کُلاه,,,8,6,False,,
قاسم‌‌آبادی,"('q', 'A', 's', 'e', 'm', 'A', 'b', 'A', 'd', 'i')",قاسِم‌‌آبادی,,,,,False,,
سئول,"('s', 'e', '?', 'u', 'l')",سِئول,,,,,False,,
سگ‌خور,"('s', 'a', 'g', 'x', 'o', 'r')",سَگ‌خور,4,,,,False,,
سیمون,"('s', 'i', 'm', 'o', 'n')",سیمون,,,,,False,,
میترا,"('m', 'i', 't', 'r', 'A')",میترا,,,,,False,,
نومیدکننده,"('n', 'o', 'm', 'i', 'd', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",نومیدکُنَندِه,1,,,,False,,
هایل,"('h', 'A', 'y', 'e', 'l')",هایِل,,,,,False,,
ماران,"('m', 'A', 'r', 'A', 'n')",ماران,,,,,False,,
دروغ‌سنج,"('d', 'u', 'r', 'u', 'q', 's', 'a', 'n', 'j')",دُروغ‌سَنج,,,,,False,,
زوائد,"('z', 'a', 'v', 'A', '?', 'e', 'd')",زَوائِد,,,,,False,,
فرهنگ‌‌سازی,"('f', 'a', 'r', 'h', 'a', 'n', 'g', 's', 'A', 'z', 'i')",فَرهَنگ‌‌سازی,,,,,False,,
بدرزاده,"('b', 'a', 'd', 'r', 'z', 'A', 'd', 'e')",بَدرزادِه,,,,,False,,
سیاه‌رود,"('s', 'i', 'y', 'A', 'h', 'r', 'u', 'd')",سیاه‌رود,,,3,3,False,,
ایسلند,"('?', 'i', 's', 'l', 'a', 'n', 'd')",ایسلَند,,,,,False,,
کاریز,"('k', 'A', 'r', 'i', 'z')",کاریز,,,,,False,,
صناعت,"('s', 'a', 'n', 'A', '?', 'a', 't')",صَناعَت,,,,,False,,
پتانسیل,"('p', 'o', 't', 'A', 'n', 's', 'i', 'y', 'e', 'l')",پُتانسیِل,,,,,False,,
